name,email,password,role,enrolledCourses,isActive,teachingCourses
Sarah Thomas,sarah.c101@example.com,sarah123,instructor,[],True,[ObjectId('661c00000000000000000101')]
David Roy,david.c102@example.com,david123,instructor,[],True,[ObjectId('661c00000000000000000102')]
Meera Nair,meera.c102@example.com,meera123,instructor,[],True,[ObjectId('661c00000000000000000102')]
Arun Kumar,arun.c103@example.com,arun123,instructor,[],True,[ObjectId('661c00000000000000000103')]
Priya Das,priya.c103@example.com,priya123,instructor,[],True,[ObjectId('661c00000000000000000103')]
Tony Joseph,tony.c104@example.com,tony123,instructor,[],True,[ObjectId('661c00000000000000000104')]
Lakshmi Menon,lakshmi.c104@example.com,lakshmi123,instructor,[],True,[ObjectId('661c00000000000000000104')]
Rakesh Pillai,rakesh.c105@example.com,rakesh123,instructor,[],True,[ObjectId('661c00000000000000000105')]
Divya Raj,divya.c105@example.com,divya123,instructor,[],True,[ObjectId('661c00000000000000000105')]
Kiran Paul,kiran.c106@example.com,kiran123,instructor,[],True,[ObjectId('661c00000000000000000106')]
Nisha Roy,nisha.c106@example.com,nisha123,instructor,[],True,[ObjectId('661c00000000000000000106')]
Ajith Kumar,ajith.c107@example.com,ajith123,instructor,[],True,[ObjectId('661c00000000000000000107')]
Sona Mathew,sona.c107@example.com,sona123,instructor,[],True,[ObjectId('661c00000000000000000107')]
Midhun Raj,midhun.c108@example.com,midhun123,instructor,[],True,[ObjectId('661c00000000000000000108')]
Parvathy S,parvathy.c108@example.com,parvathy123,instructor,[],True,[ObjectId('661c00000000000000000108')]
Sanjay Kumar,sanjay.c109@example.com,sanjay123,instructor,[],True,[ObjectId('661c00000000000000000109')]
Veena Thomas,veena.c109@example.com,veena123,instructor,[],True,[ObjectId('661c00000000000000000109')]
Yadhu Menon,yadhu.c110@example.com,yadhu123,instructor,[],True,[ObjectId('661c00000000000000000110')]
Deepa Roy,deepa.c110@example.com,deepa123,instructor,[],True,[ObjectId('661c00000000000000000110')]
Eldho Joseph,eldho.c111@example.com,eldho123,instructor,[],True,[ObjectId('661c00000000000000000111')]
Gayathri Nair,gayathri.c111@example.com,gayathri123,instructor,[],True,[ObjectId('661c00000000000000000111')]
Lijo Mathew,lijo.c112@example.com,lijo123,instructor,[],True,[ObjectId('661c00000000000000000112')]
Pranav Raj,pranav.c112@example.com,pranav123,instructor,[],True,[ObjectId('661c00000000000000000112')]
